TID,Items
344,"[589, 738, 943, 2042, 3035, 3927]"
345,"[192, 622, 1015, 1943, 2638, 3104, 3145]"
346,"[972, 1039, 2284, 3481]"
347,"[871, 1678, 2554, 3296, 3351, 3723]"
348,"[69, 236, 843, 1664]"
349,"[400, 925, 1054]"
350,"[546, 575, 1666, 2726, 3938]"
351,"[806, 2828, 3008, 3392]"
352,"[1250, 1750, 2861]"
353,"[1837, 2954, 3467]"
354,"[868, 1371, 1639, 3173]"
355,"[378, 2825, 3149]"
356,"[1973, 3376]"
357,"[69, 708, 1828, 2763, 3883]"
358,"[601, 1762, 2538, 2979]"
359,"[675, 1713, 3392]"
360,"[395, 1191, 2506, 2535, 2781, 2853, 3003, 3182, 3330]"
361,"[368, 735, 1898, 2947, 3871]"
362,"[1160, 3165]"
363,"[85, 699, 1217]"
364,"[169, 827, 1273, 3092]"
365,"[1794, 1820, 2786, 3722, 3954]"
366,"[544, 2080, 2425, 2947]"
367,"[737, 1114, 1680, 2390]"
368,"[963, 1668, 1693, 2382, 3003, 3151, 3257, 3320, 3683]"
369,"[330, 1729, 1995, 2241, 2480, 2776, 3636, 3834]"
370,"[97, 148, 994, 1507, 1605, 2191, 2990, 3498, 3639]"
371,"[648, 1346, 1676]"
372,"[3, 106, 221, 1343, 3153]"
373,"[422, 871, 1989, 2795, 3165]"
374,"[238, 832, 947, 1119, 1664, 1673, 2900, 3196]"
375,"[74, 2140, 2289, 2456, 2715, 3092, 3889]"
376,"[794, 930, 3667]"
377,"[2288, 2774, 3059, 3501]"
378,"[840, 2665, 3236, 3241, 3788]"
379,"[1411, 2809, 2893, 3653]"
380,"[125, 190, 209]"
381,"[1686, 2246]"
382,"[2145, 2211, 3320]"
383,"[90, 229, 470, 1135, 1202, 1248, 1384, 2063, 2922, 3371, 3623]"
384,"[1346, 2157, 2247]"
385,"[192, 827, 907, 1338, 3690]"
386,"[1190, 1611, 1905, 2126, 3651, 3963]"
387,"[544, 1191, 1235, 2541, 2547, 2951, 3730]"
388,"[575, 643, 815, 1609, 1750, 1982]"
389,"[607, 1093, 1343, 3532]"
390,"[2472, 2526, 3008, 3106]"
391,"[874, 993, 1284, 1285, 1837, 2861, 2864]"
392,"[493, 611, 922, 2747]"
393,"[2342, 3396]"
394,"[1233, 2487, 2590, 2663]"
395,"[353, 818, 1286, 1411, 2648, 3396, 3583]"
396,"[1407, 1871, 3772]"
397,"[518, 787, 1264, 1894, 2630]"
398,"[847, 3662]"
399,"[639, 678, 1401, 1407, 2275, 3389, 3408, 3421, 3843]"
400,"[230, 337, 544, 879, 998, 2065, 2444, 2945, 3273]"
401,"[1030, 2068, 2387]"
402,"[48, 1058, 1474, 3583, 3815]"
403,"[582, 1740, 1840, 2488, 2679, 3927]"
404,"[63, 800]"
405,"[592, 1934, 1972, 2821, 3270]"
406,"[624, 999, 1136, 3160, 3319]"
407,"[1180, 1286, 1853, 2239, 2428, 3079, 3338]"
408,"[160, 571, 1092, 2068, 3136, 3566, 3668, 3821]"
409,"[233, 1411, 2708]"
410,"[179, 911, 1275, 2337, 3065]"
411,"[2306, 2544, 2861, 2949]"
412,"[1079, 2315, 2471, 3624]"
413,"[168, 697, 989, 2563]"
414,[166]
415,"[993, 1263, 2046, 3217, 3226, 3279]"
416,"[607, 891, 1428, 2114, 2325, 3298]"
417,"[38, 1535, 1590, 2387, 2545, 2642, 3498]"
418,"[601, 1480, 3175, 3421]"
419,"[1416, 1692, 2274]"
420,"[2141, 2535]"
421,[405]
422,"[248, 2343, 2901, 3411]"
423,"[155, 227, 1557, 2714, 3130, 3166, 3350, 3702, 3920]"
424,"[261, 429, 480, 510, 1343, 1435, 1666]"
425,"[117, 1216, 1609, 2216, 3690, 3970]"
426,"[189, 1349]"
427,"[540, 1797, 2236, 2333, 2987, 3271, 3527]"
428,"[616, 1624, 3007, 3626, 3667]"
429,"[416, 544, 631, 2288, 2741, 3039]"
430,"[585, 2182, 2397]"
431,"[1916, 2842]"
432,"[174, 246, 1081, 2680, 2716, 3662]"
433,"[2194, 2275, 3218]"
434,"[783, 1981, 2409]"
435,"[74, 459, 889, 3198]"
436,"[150, 219, 1531, 1617, 1694, 3149]"
437,"[670, 3576, 3970]"
438,"[1190, 2315, 3740]"
439,"[202, 852, 950, 1632]"
440,"[318, 1502, 1903, 3987]"
441,"[421, 1896, 2948]"
442,"[1271, 2345, 2915, 2981, 3255]"
443,"[885, 909, 992, 1486, 2608, 2731, 2736, 3054, 3228, 3889]"
444,"[55, 910, 1620, 1737, 1874, 2141]"
445,[1382]
446,"[1033, 1183, 1190, 1577, 1668, 2973]"
447,"[2648, 3355]"
448,"[227, 299, 438, 996, 1469, 2528, 2941]"
449,"[179, 813, 905, 1504, 2569]"
450,"[306, 1220, 3010, 3168, 3996]"
451,"[782, 3676, 3754]"
452,"[517, 2112, 2153, 3711]"
453,"[127, 675, 899]"
454,"[709, 732, 1634, 3318, 3419, 3430, 3690]"
455,"[63, 1276, 1530, 2022, 2198, 2912, 3744, 3756]"
456,"[1500, 1565, 1816, 3891]"
457,"[567, 2080, 2149]"
458,"[26, 3871]"
459,"[16, 553, 601, 978, 2169, 3551, 3839]"
460,"[807, 1197, 1514, 1859, 3995]"
461,"[555, 707, 871, 1559, 2046]"
462,"[402, 1499, 2060, 2444]"
463,"[521, 1407, 1826, 2467, 2481]"
464,"[2630, 3498, 3662]"
465,"[909, 1697, 1753, 3022, 3051]"
466,"[648, 1346, 1676, 2386, 2840, 3262, 3941]"
467,"[18, 159, 950, 1503, 1537]"
468,"[335, 3124, 3664]"
469,"[951, 1826, 2722, 3169]"
470,"[47, 1113, 1443, 2699, 3623]"
471,"[300, 323, 1722, 2321]"
472,"[150, 405, 1364, 2638, 3524]"
473,"[884, 1804, 1853, 2123, 2561, 2615]"
474,"[2320, 2348, 2867, 3424, 3829, 3857]"
475,"[293, 1712, 2108, 2964, 3121]"
476,"[247, 949, 1750, 2201, 2395, 3441]"
477,"[480, 1094, 3009, 3135, 3681]"
478,"[1173, 1411, 1481, 1578, 3048]"
479,"[1334, 1588, 1605, 3591]"
480,"[566, 2530, 3666]"
481,"[1152, 2214, 3214]"
482,"[664, 783, 859, 1202, 1878, 3581]"
483,"[359, 1930, 2357, 3864]"
484,[3267]
485,"[1694, 2541, 3216, 3376, 3647]"
486,"[14, 577, 1216, 1899, 2655, 3381]"
487,"[209, 2610, 3524, 3552, 3600, 3664, 3920]"
488,"[1179, 1458, 3066, 3231, 3293]"
489,"[1587, 2839, 3226]"
490,"[1034, 1233, 1526, 2908, 2914, 3340]"
491,"[1658, 2149, 3357]"
492,"[885, 909, 1486, 3054]"
493,"[705, 1821, 3267]"
494,"[63, 3445]"
495,"[1324, 1350, 2098, 3796]"
496,"[3534, 3561, 3940]"
497,"[47, 75, 1627]"
498,"[595, 1498, 1916, 1993, 2385, 2751, 2979]"
499,"[109, 2169, 2276, 2488, 2545, 2810]"
500,"[1407, 1534, 1569, 2095, 2528]"
501,"[190, 667, 998, 1143, 1457, 1779, 2164, 2339]"
502,"[42, 740, 1501, 2989, 3927]"
503,"[558, 729, 827, 2038]"
504,"[140, 1125, 1241, 1394, 1731, 2062, 2338, 2557, 2637, 3136, 3245]"
505,[1382]
506,"[925, 1326, 1831, 2517, 3513, 3916]"
507,"[697, 1042, 1315]"
508,"[86, 192, 1328, 1976, 2334, 2373, 3279]"
509,"[675, 1467, 3830, 3931]"
510,"[2233, 2781]"
511,"[2489, 2666, 3387]"
512,"[229, 2922]"
513,"[1895, 2443, 2853, 3210, 3648, 3990]"
514,"[231, 377, 859, 1659, 3186, 3319]"
515,"[939, 1102, 1289, 1370, 2209, 2937, 3964]"
516,"[3055, 3950]"
517,"[1191, 1226, 1678, 3600]"
518,"[571, 3602]"
519,"[852, 1735, 2373, 2790, 2877]"
520,"[147, 425]"
521,"[773, 2470, 2647, 3985]"
522,"[561, 1768, 3026, 3319, 3758]"
523,"[246, 3040, 3622, 3835, 3980]"
524,"[57, 1326, 2226, 3559]"
525,"[338, 563, 990, 991, 1071, 1671, 1721, 3098, 3251]"
526,"[1454, 2798, 3267, 3293, 3692]"
527,"[1678, 3404]"
528,"[183, 642, 1716, 2053, 2561, 3350]"
529,"[1577, 2029]"
530,"[55, 1231, 1493, 1499, 1628, 1762, 2573, 3025, 3518, 3671, 3948]"
531,"[2101, 2181]"
532,"[69, 127, 592, 3869]"
533,"[2216, 3549]"
534,"[3835, 3872]"
535,"[150, 322, 716, 3496, 3524]"
536,"[699, 1884, 3455, 3825, 3952]"
537,"[45, 221, 851, 3671]"
538,"[48, 1190, 1275, 1556, 2246, 2988, 3169]"
539,"[150, 2170, 3683]"
540,"[432, 443, 613, 845, 1113, 1836]"
541,"[656, 874, 998, 1351]"
542,"[1188, 1491, 1897, 2223, 3221, 3653]"
543,"[378, 1462]"
544,"[800, 1149, 1275, 1713, 2922, 3676]"
545,"[150, 219, 1531, 1617, 3149]"
546,"[807, 992, 1354, 2395, 3899]"
547,"[1139, 1540, 1756, 2213]"
548,"[59, 216, 377, 874, 3351, 3458]"
549,"[236, 930, 1093, 1557, 1928, 2819, 3527]"
550,"[400, 403, 537, 558, 1826, 2017, 2091, 3927]"
551,"[1466, 2739, 3409, 3962]"
552,"[1756, 3435, 3822]"
553,"[1716, 3110, 3328]"
554,"[480, 1909, 3106, 3730]"
555,"[934, 3745, 3934]"
556,"[1474, 2082, 2169, 2289]"
557,"[446, 518, 1146, 1504, 1868, 2101, 3505, 3530, 3830]"
558,"[676, 1188, 1232, 1537, 1804, 2580, 2941, 3606, 3684]"
559,[2583]
560,"[2284, 2631]"
561,"[214, 3296, 3304, 3315]"
562,"[444, 1276, 3114, 3802]"
563,"[117, 575, 988, 1893, 2948, 3835]"
564,"[221, 927, 3159, 3816, 3831]"
565,"[456, 1501, 1613, 2557]"
566,"[1393, 2825, 2912]"
567,"[318, 3221, 3991]"
568,"[876, 1211, 2774, 3505, 3685]"
569,"[466, 1093, 2339, 2663, 3460]"
570,"[1956, 2198, 2239, 2646, 2656]"
571,"[69, 418, 781, 1005, 1145, 1205, 2803, 2963, 3396, 3497]"
572,"[571, 2380, 3356]"
573,"[171, 2778, 3238]"
574,"[22, 3932]"
575,"[1190, 1533, 2699, 2745]"
576,"[1487, 1884, 2147, 3163]"
577,"[555, 1016, 3858]"
578,"[1005, 1284, 1294, 2013, 2080, 3600]"
579,"[341, 877, 1328, 1530, 3759]"
580,"[302, 669, 908, 1910]"
581,"[640, 1145, 1957, 2893]"
582,"[492, 2593, 3079, 3133, 3484, 3578, 3613]"
583,"[192, 925, 1368, 1384, 1464, 1562, 1714, 2135, 3054]"
584,"[989, 1629, 2873, 3163]"
585,"[675, 1852, 2527, 3356]"
586,"[2307, 2715, 3798]"
587,"[610, 1219, 1678, 1783, 2828]"
588,"[1136, 1191, 1334, 2883, 3934]"
589,"[87, 619, 2145, 2487, 2589]"
590,"[1740, 2864, 3616]"
591,"[1225, 1588, 3329, 3478, 3883]"
592,"[2332, 2531]"
593,"[89, 527, 2418, 2508]"
594,"[806, 1234, 1461, 1541, 1828]"
595,"[1361, 2481]"
596,"[1561, 2038, 2729, 2883, 3392, 3572]"
597,"[241, 246, 647, 1350]"
598,"[1336, 1361, 2063, 3567]"
599,"[2303, 2733, 3124, 3192, 3334, 3743]"
600,"[156, 911, 1317, 1853, 2094, 2104, 2937, 3246]"
601,"[867, 993]"
602,[2544]
603,"[932, 2339]"
604,"[933, 1961]"
605,"[132, 903, 2516, 2557]"
606,"[753, 1585, 1950, 2010, 3796]"
607,"[51, 577, 884, 1835, 2645, 3296, 3553]"
608,"[29, 1195, 2352]"
609,"[399, 447, 709, 909, 1396, 1679, 2239, 3296, 3521, 3664]"
610,"[974, 1184, 2034, 3268, 3637]"
611,"[1230, 1914, 2001]"
612,"[327, 2853, 2963]"
613,"[1128, 2383, 2858, 3196, 3572]"
614,"[335, 1498, 3342]"
615,"[11, 78, 1325, 3609]"
616,"[1843, 2126, 2634, 2933, 3051]"
617,"[1105, 1382, 1727, 3305, 3595]"
618,"[148, 154, 283, 1479, 2833, 3065, 3340, 3869]"
619,"[1025, 1259, 2565, 2831, 3228]"
620,"[558, 1383, 1387, 2343, 3662]"
621,"[472, 813, 1127, 1405, 1530, 2541, 3460]"
622,"[648, 737, 852, 1569, 1648, 2348, 3186]"
623,"[1153, 3953]"
624,"[1166, 1371, 1500, 3934, 3990]"
625,"[8, 1097, 2319, 2496]"
626,"[500, 592, 1500, 2506, 2548, 3045, 3178]"
